A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V,apelido,apelido_abreviado,atleta_id,clube_id,clube_nome,entrou_em_campo,foto,jogos_num,media_num,minimo_para_valorizar,nome,pontos_num,posicao_id,preco_num,rodada_id,slug,status_id,temporada,variacao_num
,,,,,,,,,,,,,,,,,,,,Felipe Anderson,F. Anderson,70592,275,PAL,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,,Felipe Anderson Pereira Gomes,0.0,4,9.0,1,felipe-anderson,5,2026,0.0
,,,,,2.0,,,,1.0,,,,,,,,,,,Marllon,Marllon,70666,364,REM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,1,3.5,,Marllon Gonçalves Jerônimo Borges,3.5,3,5.32,1,marllon,7,2026,0.32
,,,,,,,,,,,,,,,,,,,,Jorge Sampaoli,J. Sampaoli,70800,282,CAM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,1,3.81,,Jorge Sampaoli,3.81,6,8.7,1,jorge-sampaoli,7,2026,-0.3
,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,Bruno Henrique,B. Henrique,70944,285,INT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,1,2.2,,Bruno Henrique Corsini,2.2,4,5.68,1,bruno-henrique,6,2026,-0.32
1.0,,,,,,,,,,,1.0,,,,,,,,,Jean Carlos,J. Carlos,70958,315,CHA,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,1,13.0,,Jean Carlos Vicente,13.0,4,7.83,1,jean-carlos,6,2026,3.83
,1.0,,4.0,,,,,,,,,,2.0,,,,,,,Léo Vieira,L. Vieira,71043,315,CHA,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,1,2.2,,Leonardo da Silva Vieira,2.2,1,2.41,1,leo-vieira,7,2026,0.41
,,,,,2.0,,,,3.0,,,,,,,,,,,Thiago Mendes,T. Mendes,71123,267,VAS,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,1,4.5,,Thiago Henrique Mendes Ribeiro,4.5,4,7.31,1,thiago-mendes,7,2026,0.31
,,,,,1.0,1.0,,,1.0,,,,,,,,,,,Maicon,Maicon,71227,294,CFC,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,1,1.7,,Maicon Pereira Roque,1.7,3,4.69,1,maicon,7,2026,-0.31
,,,,,,,,,,,,,,,,,,,,Luiz Gustavo,L. Gustavo,71536,293,CAP,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,0.0,,Luiz Gustavo Dias,0.0,4,6.0,1,luiz-gustavo,6,2026,0.0
,,,4.0,,,,,,,,,,2.0,,,,,,,Weverton,Weverton,71631,284,GRE,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,1,3.2,,Weverton Pereira da Silva,3.2,1,8.49,1,weverton,7,2026,-0.51
,,,,,1.0,2.0,,,2.0,,,,,,,,,,,Gustavo Gómez,G. Gómez,71684,275,PAL,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,1,1.9,,Gustavo Raúl Gómez Portillo,1.9,3,11.3,1,gustavo-gomez,7,2026,-1.7
,,,,,,,,,,,,,,,,,,,,Cuéllar,Cuéllar,71709,284,GRE,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,0.0,,Gustavo Leonardo Cuellar Gallego,0.0,4,5.0,1,cuellar,6,2026,0.0
,,,,,,,,,,,,,,,,,,,,Tiago Volpi,T. Volpi,72018,280,RBB,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,0.0,,Tiago Luis Volpi,0.0,1,8.0,1,tiago-volpi,6,2026,0.0
,,,,,,,,,,,,,,,,,,,,Thomazella,Thomazella,72279,2305,MIR,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,,Carlos Eduardo Lecciolle Thomazella,0.0,1,2.0,1,thomazella,6,2026,0.0
,,,4.0,,,,,,1.0,,,,2.0,,,,,,,Everson,Everson,72294,282,CAM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,1,3.7,,Everson Felipe Marques Pires,3.7,1,10.3,1,everson,7,2026,-0.7
,,,,,,,,,,,,,,,,,,,,Fernando Diniz,F. Diniz,72391,267,VAS,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,1,4.0,,Fernando Diniz Silva,4.0,6,7.95,1,fernando-diniz,7,2026,-0.05
,,,,,,2.0,,,,,,,,,,,,,,Bernard,Bernard,72460,282,CAM,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,1,-0.6,,Bernard Anício Caldeira Duarte,-0.6,4,4.7,1,bernard,7,2026,-1.3
,,,,,,,,,,,,,,,,,,,,Bressan,Bressan,72491,315,CHA,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,0,0.0,,Matheus Simonete Bressanelli,0.0,3,3.0,1,bressan,6,2026,0.0
,,,,,2.0,,,,,,,,,,,,,1.0,,Alex Telles,A. Telles,72493,263,BOT,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,1,8.0,,Alex Nicolao Telles,8.0,2,12.62,1,alex-telles,7,2026,0.62
,,,,,,,,,,,,,,,,,,,,Vitor Hugo,V. Hugo,72605,282,CAM,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,0.0,,Vitor Hugo Franchescoli de Souza,0.0,3,7.0,1,vitor-hugo,6,2026,0.0
,,,,,,,,,,,,,,,,,,,,Mercado,Mercado,72951,285,INT,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,0,0.0,,Gabriel Iván Mercado,0.0,3,5.0,1,mercado,7,2026,0.0
